election_date,election_year,election_month,election_day,prop_letter_or_num,prop_title,num_yes_votes,num_no_votes,pct_yes_votes,pct_no_votes,pct_required_to_pass,pass_or_fail,raw_source_of_prop,source_of_prop,prop_kind,description,prop_url
11/5/1907,1907,11,5,1,Bonds issued for acquisition of public utilities,23257,4637,83.3,16.7,50%+1,P,Supervisors,supervisors,Charter Amendment,"Setting forth a proposal relating to bonds issued for the acquisition of public utilities, the registration thereof, and the levy of taxes to provide for the interest thereon and a sinking fund, and to bonds issued for the acquisition of land and the construction or acquisition of any permanent building or buildings, improvement or improvements.",https://sfpl.org/index.php?pg=2000027201&propid=1
11/5/1907,1907,11,5,2,Recall of Elected Officials,22945,5579,80.4,19.6,50%+1,P,Supervisors,supervisors,Charter Amendment,The holder of any elective office may be removed at any time by the electors qualified to vote for a successor of each incumbent. A petition must be filed with the Board of Election Commissioners with signatures equal to 30% (percent) of registered voters and must contain a general statement of the grounds for which the removal is sought.,https://sfpl.org/index.php?pg=2000027201&propid=2
11/5/1907,1907,11,5,3,Apportionment of Fund Revenue; Interest on Bonded Indebtedness; Sinking Funds,21000,5809,78.3,21.7,50%+1,P,Supervisors,supervisors,Charter Amendment,Relating to the apportionment of the income and revenue of funds and a provision for income to pay interest on the bonded indebtedness and provide for the sinking funds. The sinking funds shall always be provided for out of the tax on property.,https://sfpl.org/index.php?pg=2000027201&propid=3
11/5/1907,1907,11,5,4,Responsibility of treasurer for public funds,22425,5285,80.9,19.1,50%+1,P,Supervisors,supervisors,Charter Amendment,Relating to the custody by the Treasurer of public funds and authorizing their deposit in certain banks upon certain terms and conditions.  Treasurer shall receive and safely keep all moneys which shall be paid into the Treasury.,https://sfpl.org/index.php?pg=2000027201&propid=4
11/5/1907,1907,11,5,5,"Board of Public Works; Contracts, Bonds and Payments",20527,7039,74.4,25.6,50%+1,P,Supervisors,supervisors,Charter Amendment,"Relating to contracts entered into by the Board of Public Works, and bonds to be given in connection with the same, permitting progressive payments to be provided upon certain terms and conditions. All contracts shall be drawn under the supervision of the City Attorney.",https://sfpl.org/index.php?pg=2000027201&propid=5
11/5/1907,1907,11,5,6,Officers of City to be Bonded,21970,4495,83.0,17.0,50%+1,P,Supervisors,supervisors,Charter Amendment,Officers shall respectively execute official bonds to the City and County.,https://sfpl.org/index.php?pg=2000027201&propid=6
11/5/1907,1907,11,5,7,Board of Supervisors' Appropriation for Urgent Necessities,20961,5358,79.6,20.4,50%+1,P,Supervisors,supervisors,Charter amendment,"Relating to the appropriation of $100,000 a year by the supervisors for urgent necessities not otherwise provided for by law.",https://sfpl.org/index.php?pg=2000027201&propid=7
11/5/1907,1907,11,5,8,Composition of Members of Fire Department; Salaries and Vacations,35017,8347,80.7,19.3,50%+1,P,Supervisors,supervisors,Charter Amendment,Relative to the composition of the personnel of the companies of the Fire Department and the salaries and vacations of the members.,https://sfpl.org/index.php?pg=2000027201&propid=8
11/5/1907,1907,11,5,9,Taxes or Bonded Indebtedness; Acquisition of Public Utilities,20861,5858,78.0,22.0,50%+1,P,Supervisors,supervisors,Charter Amendment,"The City shall have the power to acquire, construct or complete any public utility from funds derived from taxes levied for that purpose, or from funds derived from the sale of bonds issued for that purpose and may operate, maintain, sell or lease any public utility subject to the provisions of this Charter.",https://sfpl.org/index.php?pg=2000027201&propid=9
11/5/1907,1907,11,5,10,Sale of City-Owned Lands; Future Land Acquisitions,15023,10573,58.6,41.4,50%+1,P,Supervisors,supervisors,Charter Amendment,"City and County of San Francisco to have power to sell all lands owned by the City and County between Ninth street and Eighteenth street, formerly Mission Creek, and any and all future acquisitions, excepting lands for parks, squares and children's playgrounds.",https://sfpl.org/index.php?pg=2000027201&propid=10
11/5/1907,1907,11,5,11,Changes to Street Grades,18499,7774,70.4,29.6,50%+1,P,Supervisors,supervisors,Charter Amendment,Relating to the changes or modifications of street grades and the performance of street work in connection therewith.,https://sfpl.org/index.php?pg=2000027201&propid=11
11/5/1907,1907,11,5,12,"Opening, Closing, Widening, Straightening, and Extending of Streets",18501,8109,69.5,30.5,50%+1,P,Supervisors,supervisors,Charter Amendment,"Relating to the opening, extending, widening, straightening or closing up of streets and the performance of street work in connection therewith, and the condemnation and acquisition of land and property necessary therefor.",https://sfpl.org/index.php?pg=2000027201&propid=12
11/5/1907,1907,11,5,13,Liability for Damages against the City and its Officials,19817,6605,75.0,25.0,50%+1,P,Supervisors,supervisors,Charter Amendment,"No recourse shall be had against the City for damage or loss to person or property due to the defective condition, or lack of repair, of any sidewalk, street, avenue, lane, alley, court, place or sewer.",https://sfpl.org/index.php?pg=2000027201&propid=13
11/5/1907,1907,11,5,14,Leasing of Real Property of School Department,20451,5707,78.1,21.9,50%+1,P,Supervisors,supervisors,Charter Amendment,"To lease to the highest responsible bidder, for the benefit of the Common School Fund and for a term not exceeding thirty-five years, any real property of the School Department not required for school purposes.",https://sfpl.org/index.php?pg=2000027201&propid=14
11/5/1907,1907,11,5,15,Board of Supervisors; Power to grant permits for spur tracks,20501,11504,64.0,36.0,50%+1,P,Supervisors,supervisors,Charter Amendment,"To permit spur tracks for industrial purposes only, for purpose of connecting warehouses, manufactories, or other business industries and enterprises with the Belt Line of railroads along the water front or other lines of railroad.",https://sfpl.org/index.php?pg=2000027201&propid=15
